candidate,margin_threshold,best_similarity_threshold,duration_minimum_seconds,duration_margin_threshold,session,utterance_count,score,accuracy,unassigned_rate,error_rate,misattributed_seconds,correct_count,unassigned_count,wrong_count
production,,,,,20260818-end,195,0.9128205128205128,0.8205128205128205,0.15384615384615385,0.02564102564102564,4.30000000000004,160,30,5
production,,,,,20260825-end,243,0.8971193415637861,0.7736625514403292,0.205761316872428,0.0205761316872428,4.660000000000053,188,50,5
production,,,,,pooled,438,0.904109589041096,0.7945205479452054,0.182648401826484,0.0228310502283105,8.960000000000093,348,80,10
margin>=0.06,0.06,,,,20260818-end,195,0.9046153846153846,0.8307692307692308,0.12307692307692308,0.046153846153846156,6.830000000000027,162,24,9
margin>=0.06,0.06,,,,20260825-end,243,0.8954732510288067,0.7942386831275721,0.16872427983539096,0.037037037037037035,5.910000000000014,193,41,9
margin>=0.06,0.06,,,,pooled,438,0.8995433789954338,0.8105022831050228,0.14840182648401826,0.0410958904109589,12.740000000000041,355,65,18
margin>=0.06 dur[1.0s->0.0],0.06,,1.0,0.0,20260818-end,195,0.9015384615384615,0.8461538461538461,0.09230769230769231,0.06153846153846154,13.319999999999979,165,18,12
margin>=0.06 dur[1.0s->0.0],0.06,,1.0,0.0,20260825-end,243,0.9069958847736626,0.8353909465020576,0.11934156378600823,0.04526748971193416,8.37000000000005,203,29,11
margin>=0.06 dur[1.0s->0.0],0.06,,1.0,0.0,pooled,438,0.9045662100456621,0.8401826484018264,0.10730593607305935,0.05251141552511415,21.69000000000003,368,47,23
margin>=0.06 dur[1.0s->0.02],0.06,,1.0,0.02,20260818-end,195,0.9015384615384615,0.8461538461538461,0.09230769230769231,0.06153846153846154,13.319999999999979,165,18,12
margin>=0.06 dur[1.0s->0.02],0.06,,1.0,0.02,20260825-end,243,0.8954732510288066,0.8065843621399177,0.14814814814814814,0.04526748971193416,8.37000000000005,196,36,11
margin>=0.06 dur[1.0s->0.02],0.06,,1.0,0.02,pooled,438,0.8981735159817352,0.8242009132420092,0.1232876712328767,0.05251141552511415,21.69000000000003,361,54,23
margin>=0.06 dur[1.0s->0.04],0.06,,1.0,0.04,20260818-end,195,0.9056410256410257,0.841025641025641,0.1076923076923077,0.05128205128205128,8.370000000000019,164,21,10
margin>=0.06 dur[1.0s->0.04],0.06,,1.0,0.04,20260825-end,243,0.9004115226337449,0.8065843621399177,0.15637860082304528,0.037037037037037035,5.910000000000014,196,38,9
margin>=0.06 dur[1.0s->0.04],0.06,,1.0,0.04,pooled,438,0.9027397260273973,0.821917808219178,0.13470319634703196,0.04337899543378995,14.280000000000033,360,59,19
margin>=0.06 dur[1.0s->0.06],0.06,,1.0,0.06,20260818-end,195,0.9046153846153846,0.8307692307692308,0.12307692307692308,0.046153846153846156,6.830000000000027,162,24,9
margin>=0.06 dur[1.0s->0.06],0.06,,1.0,0.06,20260825-end,243,0.8954732510288067,0.7942386831275721,0.16872427983539096,0.037037037037037035,5.910000000000014,193,41,9
margin>=0.06 dur[1.0s->0.06],0.06,,1.0,0.06,pooled,438,0.8995433789954338,0.8105022831050228,0.14840182648401826,0.0410958904109589,12.740000000000041,355,65,18
margin>=0.06 dur[1.5s->0.0],0.06,,1.5,0.0,20260818-end,195,0.9025641025641026,0.841025641025641,0.10256410256410256,0.05641025641025641,12.149999999999991,164,20,11
margin>=0.06 dur[1.5s->0.0],0.06,,1.5,0.0,20260825-end,243,0.9037037037037038,0.8148148148148148,0.14814814814814814,0.037037037037037035,5.910000000000014,198,36,9
margin>=0.06 dur[1.5s->0.0],0.06,,1.5,0.0,pooled,438,0.9031963470319635,0.8264840182648402,0.1278538812785388,0.045662100456621,18.060000000000006,362,56,20
margin>=0.06 dur[1.5s->0.02],0.06,,1.5,0.02,20260818-end,195,0.9025641025641026,0.841025641025641,0.10256410256410256,0.05641025641025641,12.149999999999991,164,20,11
margin>=0.06 dur[1.5s->0.02],0.06,,1.5,0.02,20260825-end,243,0.8971193415637861,0.7983539094650206,0.1646090534979424,0.037037037037037035,5.910000000000014,194,40,9
margin>=0.06 dur[1.5s->0.02],0.06,,1.5,0.02,pooled,438,0.8995433789954338,0.817351598173516,0.136986301369863,0.045662100456621,18.060000000000006,358,60,20
margin>=0.06 dur[1.5s->0.04],0.06,,1.5,0.04,20260818-end,195,0.9056410256410257,0.841025641025641,0.1076923076923077,0.05128205128205128,8.370000000000019,164,21,10
margin>=0.06 dur[1.5s->0.04],0.06,,1.5,0.04,20260825-end,243,0.8971193415637861,0.7983539094650206,0.1646090534979424,0.037037037037037035,5.910000000000014,194,40,9
margin>=0.06 dur[1.5s->0.04],0.06,,1.5,0.04,pooled,438,0.9009132420091325,0.817351598173516,0.13926940639269406,0.04337899543378995,14.280000000000033,358,61,19
margin>=0.06 dur[1.5s->0.06],0.06,,1.5,0.06,20260818-end,195,0.9046153846153846,0.8307692307692308,0.12307692307692308,0.046153846153846156,6.830000000000027,162,24,9
margin>=0.06 dur[1.5s->0.06],0.06,,1.5,0.06,20260825-end,243,0.8954732510288067,0.7942386831275721,0.16872427983539096,0.037037037037037035,5.910000000000014,193,41,9
margin>=0.06 dur[1.5s->0.06],0.06,,1.5,0.06,pooled,438,0.8995433789954338,0.8105022831050228,0.14840182648401826,0.0410958904109589,12.740000000000041,355,65,18
margin>=0.06 dur[2.0s->0.0],0.06,,2.0,0.0,20260818-end,195,0.9035897435897435,0.8358974358974359,0.11282051282051282,0.05128205128205128,10.61,163,22,10
margin>=0.06 dur[2.0s->0.0],0.06,,2.0,0.0,20260825-end,243,0.9004115226337449,0.8065843621399177,0.15637860082304528,0.037037037037037035,5.910000000000014,196,38,9
margin>=0.06 dur[2.0s->0.0],0.06,,2.0,0.0,pooled,438,0.9018264840182648,0.819634703196347,0.136986301369863,0.04337899543378995,16.520000000000014,359,60,19
margin>=0.06 dur[2.0s->0.02],0.06,,2.0,0.02,20260818-end,195,0.9035897435897435,0.8358974358974359,0.11282051282051282,0.05128205128205128,10.61,163,22,10
margin>=0.06 dur[2.0s->0.02],0.06,,2.0,0.02,20260825-end,243,0.8954732510288067,0.7942386831275721,0.16872427983539096,0.037037037037037035,5.910000000000014,193,41,9
margin>=0.06 dur[2.0s->0.02],0.06,,2.0,0.02,pooled,438,0.8990867579908677,0.8127853881278538,0.14383561643835616,0.04337899543378995,16.520000000000014,356,63,19
margin>=0.06 dur[2.0s->0.04],0.06,,2.0,0.04,20260818-end,195,0.9066666666666666,0.8358974358974359,0.11794871794871795,0.046153846153846156,6.830000000000027,163,23,9
margin>=0.06 dur[2.0s->0.04],0.06,,2.0,0.04,20260825-end,243,0.8954732510288067,0.7942386831275721,0.16872427983539096,0.037037037037037035,5.910000000000014,193,41,9
margin>=0.06 dur[2.0s->0.04],0.06,,2.0,0.04,pooled,438,0.9004566210045662,0.8127853881278538,0.1461187214611872,0.0410958904109589,12.740000000000041,356,64,18
margin>=0.06 dur[2.0s->0.06],0.06,,2.0,0.06,20260818-end,195,0.9046153846153846,0.8307692307692308,0.12307692307692308,0.046153846153846156,6.830000000000027,162,24,9
margin>=0.06 dur[2.0s->0.06],0.06,,2.0,0.06,20260825-end,243,0.8954732510288067,0.7942386831275721,0.16872427983539096,0.037037037037037035,5.910000000000014,193,41,9
margin>=0.06 dur[2.0s->0.06],0.06,,2.0,0.06,pooled,438,0.8995433789954338,0.8105022831050228,0.14840182648401826,0.0410958904109589,12.740000000000041,355,65,18
margin>=0.06 dur[2.5s->0.0],0.06,,2.5,0.0,20260818-end,195,0.9035897435897435,0.8358974358974359,0.11282051282051282,0.05128205128205128,10.61,163,22,10
margin>=0.06 dur[2.5s->0.0],0.06,,2.5,0.0,20260825-end,243,0.9004115226337449,0.8065843621399177,0.15637860082304528,0.037037037037037035,5.910000000000014,196,38,9
margin>=0.06 dur[2.5s->0.0],0.06,,2.5,0.0,pooled,438,0.9018264840182648,0.819634703196347,0.136986301369863,0.04337899543378995,16.520000000000014,359,60,19
margin>=0.06 dur[2.5s->0.02],0.06,,2.5,0.02,20260818-end,195,0.9035897435897435,0.8358974358974359,0.11282051282051282,0.05128205128205128,10.61,163,22,10
margin>=0.06 dur[2.5s->0.02],0.06,,2.5,0.02,20260825-end,243,0.8954732510288067,0.7942386831275721,0.16872427983539096,0.037037037037037035,5.910000000000014,193,41,9
margin>=0.06 dur[2.5s->0.02],0.06,,2.5,0.02,pooled,438,0.8990867579908677,0.8127853881278538,0.14383561643835616,0.04337899543378995,16.520000000000014,356,63,19
margin>=0.06 dur[2.5s->0.04],0.06,,2.5,0.04,20260818-end,195,0.9066666666666666,0.8358974358974359,0.11794871794871795,0.046153846153846156,6.830000000000027,163,23,9
margin>=0.06 dur[2.5s->0.04],0.06,,2.5,0.04,20260825-end,243,0.8954732510288067,0.7942386831275721,0.16872427983539096,0.037037037037037035,5.910000000000014,193,41,9
margin>=0.06 dur[2.5s->0.04],0.06,,2.5,0.04,pooled,438,0.9004566210045662,0.8127853881278538,0.1461187214611872,0.0410958904109589,12.740000000000041,356,64,18
margin>=0.06 dur[2.5s->0.06],0.06,,2.5,0.06,20260818-end,195,0.9046153846153846,0.8307692307692308,0.12307692307692308,0.046153846153846156,6.830000000000027,162,24,9
margin>=0.06 dur[2.5s->0.06],0.06,,2.5,0.06,20260825-end,243,0.8954732510288067,0.7942386831275721,0.16872427983539096,0.037037037037037035,5.910000000000014,193,41,9
margin>=0.06 dur[2.5s->0.06],0.06,,2.5,0.06,pooled,438,0.8995433789954338,0.8105022831050228,0.14840182648401826,0.0410958904109589,12.740000000000041,355,65,18
margin>=0.06 dur[3.0s->0.0],0.06,,3.0,0.0,20260818-end,195,0.9035897435897435,0.8358974358974359,0.11282051282051282,0.05128205128205128,10.61,163,22,10
margin>=0.06 dur[3.0s->0.0],0.06,,3.0,0.0,20260825-end,243,0.8987654320987655,0.8024691358024691,0.16049382716049382,0.037037037037037035,5.910000000000014,195,39,9
margin>=0.06 dur[3.0s->0.0],0.06,,3.0,0.0,pooled,438,0.9009132420091325,0.817351598173516,0.13926940639269406,0.04337899543378995,16.520000000000014,358,61,19
margin>=0.06 dur[3.0s->0.02],0.06,,3.0,0.02,20260818-end,195,0.9035897435897435,0.8358974358974359,0.11282051282051282,0.05128205128205128,10.61,163,22,10
margin>=0.06 dur[3.0s->0.02],0.06,,3.0,0.02,20260825-end,243,0.8954732510288067,0.7942386831275721,0.16872427983539096,0.037037037037037035,5.910000000000014,193,41,9
margin>=0.06 dur[3.0s->0.02],0.06,,3.0,0.02,pooled,438,0.8990867579908677,0.8127853881278538,0.14383561643835616,0.04337899543378995,16.520000000000014,356,63,19
margin>=0.06 dur[3.0s->0.04],0.06,,3.0,0.04,20260818-end,195,0.9066666666666666,0.8358974358974359,0.11794871794871795,0.046153846153846156,6.830000000000027,163,23,9
margin>=0.06 dur[3.0s->0.04],0.06,,3.0,0.04,20260825-end,243,0.8954732510288067,0.7942386831275721,0.16872427983539096,0.037037037037037035,5.910000000000014,193,41,9
margin>=0.06 dur[3.0s->0.04],0.06,,3.0,0.04,pooled,438,0.9004566210045662,0.8127853881278538,0.1461187214611872,0.0410958904109589,12.740000000000041,356,64,18
margin>=0.06 dur[3.0s->0.06],0.06,,3.0,0.06,20260818-end,195,0.9046153846153846,0.8307692307692308,0.12307692307692308,0.046153846153846156,6.830000000000027,162,24,9
margin>=0.06 dur[3.0s->0.06],0.06,,3.0,0.06,20260825-end,243,0.8954732510288067,0.7942386831275721,0.16872427983539096,0.037037037037037035,5.910000000000014,193,41,9
margin>=0.06 dur[3.0s->0.06],0.06,,3.0,0.06,pooled,438,0.8995433789954338,0.8105022831050228,0.14840182648401826,0.0410958904109589,12.740000000000041,355,65,18
margin>=0.06 OR best>=0.3,0.06,0.3,,,20260818-end,195,0.8984615384615384,0.8461538461538461,0.08717948717948718,0.06666666666666667,12.899999999999977,165,17,13
margin>=0.06 OR best>=0.3,0.06,0.3,,,20260825-end,243,0.9037037037037038,0.8271604938271605,0.12757201646090535,0.04526748971193416,8.260000000000094,201,31,11
margin>=0.06 OR best>=0.3,0.06,0.3,,,pooled,438,0.9013698630136987,0.8356164383561644,0.1095890410958904,0.0547945205479452,21.16000000000007,366,48,24
margin>=0.06 OR best>=0.3 dur[1.0s->0.0],0.06,0.3,1.0,0.0,20260818-end,195,0.8974358974358975,0.8512820512820513,0.07692307692307693,0.07179487179487179,14.43999999999997,166,15,14
margin>=0.06 OR best>=0.3 dur[1.0s->0.0],0.06,0.3,1.0,0.0,20260825-end,243,0.9045267489711935,0.8353909465020576,0.11522633744855967,0.04938271604938271,9.32000000000004,203,28,12
margin>=0.06 OR best>=0.3 dur[1.0s->0.0],0.06,0.3,1.0,0.0,pooled,438,0.9013698630136987,0.8424657534246576,0.09817351598173515,0.0593607305936073,23.76000000000001,369,43,26
margin>=0.06 OR best>=0.3 dur[1.0s->0.02],0.06,0.3,1.0,0.02,20260818-end,195,0.8974358974358975,0.8512820512820513,0.07692307692307693,0.07179487179487179,14.43999999999997,166,15,14
margin>=0.06 OR best>=0.3 dur[1.0s->0.02],0.06,0.3,1.0,0.02,20260825-end,243,0.9012345679012346,0.8271604938271605,0.12345679012345678,0.04938271604938271,9.32000000000004,201,30,12
margin>=0.06 OR best>=0.3 dur[1.0s->0.02],0.06,0.3,1.0,0.02,pooled,438,0.8995433789954338,0.8378995433789954,0.10273972602739725,0.0593607305936073,23.76000000000001,367,45,26
margin>=0.06 OR best>=0.3 dur[1.0s->0.04],0.06,0.3,1.0,0.04,20260818-end,195,0.8953846153846154,0.8461538461538461,0.08205128205128205,0.07179487179487179,14.43999999999997,165,16,14
margin>=0.06 OR best>=0.3 dur[1.0s->0.04],0.06,0.3,1.0,0.04,20260825-end,243,0.9037037037037038,0.8271604938271605,0.12757201646090535,0.04526748971193416,8.260000000000094,201,31,11
margin>=0.06 OR best>=0.3 dur[1.0s->0.04],0.06,0.3,1.0,0.04,pooled,438,0.9,0.8356164383561644,0.10730593607305935,0.05707762557077625,22.700000000000063,366,47,25
margin>=0.06 OR best>=0.3 dur[1.0s->0.06],0.06,0.3,1.0,0.06,20260818-end,195,0.8984615384615384,0.8461538461538461,0.08717948717948718,0.06666666666666667,12.899999999999977,165,17,13
margin>=0.06 OR best>=0.3 dur[1.0s->0.06],0.06,0.3,1.0,0.06,20260825-end,243,0.9037037037037038,0.8271604938271605,0.12757201646090535,0.04526748971193416,8.260000000000094,201,31,11
margin>=0.06 OR best>=0.3 dur[1.0s->0.06],0.06,0.3,1.0,0.06,pooled,438,0.9013698630136987,0.8356164383561644,0.1095890410958904,0.0547945205479452,21.16000000000007,366,48,24
margin>=0.06 OR best>=0.3 dur[1.5s->0.0],0.06,0.3,1.5,0.0,20260818-end,195,0.8953846153846154,0.8461538461538461,0.08205128205128205,0.07179487179487179,14.43999999999997,165,16,14
margin>=0.06 OR best>=0.3 dur[1.5s->0.0],0.06,0.3,1.5,0.0,20260825-end,243,0.9053497942386831,0.831275720164609,0.12345679012345678,0.04526748971193416,8.260000000000094,202,30,11
margin>=0.06 OR best>=0.3 dur[1.5s->0.0],0.06,0.3,1.5,0.0,pooled,438,0.9009132420091325,0.8378995433789954,0.1050228310502283,0.05707762557077625,22.700000000000063,367,46,25
margin>=0.06 OR best>=0.3 dur[1.5s->0.02],0.06,0.3,1.5,0.02,20260818-end,195,0.8953846153846154,0.8461538461538461,0.08205128205128205,0.07179487179487179,14.43999999999997,165,16,14
margin>=0.06 OR best>=0.3 dur[1.5s->0.02],0.06,0.3,1.5,0.02,20260825-end,243,0.9037037037037038,0.8271604938271605,0.12757201646090535,0.04526748971193416,8.260000000000094,201,31,11
margin>=0.06 OR best>=0.3 dur[1.5s->0.02],0.06,0.3,1.5,0.02,pooled,438,0.9,0.8356164383561644,0.10730593607305935,0.05707762557077625,22.700000000000063,366,47,25
margin>=0.06 OR best>=0.3 dur[1.5s->0.04],0.06,0.3,1.5,0.04,20260818-end,195,0.8953846153846154,0.8461538461538461,0.08205128205128205,0.07179487179487179,14.43999999999997,165,16,14
margin>=0.06 OR best>=0.3 dur[1.5s->0.04],0.06,0.3,1.5,0.04,20260825-end,243,0.9037037037037038,0.8271604938271605,0.12757201646090535,0.04526748971193416,8.260000000000094,201,31,11
margin>=0.06 OR best>=0.3 dur[1.5s->0.04],0.06,0.3,1.5,0.04,pooled,438,0.9,0.8356164383561644,0.10730593607305935,0.05707762557077625,22.700000000000063,366,47,25
margin>=0.06 OR best>=0.3 dur[1.5s->0.06],0.06,0.3,1.5,0.06,20260818-end,195,0.8984615384615384,0.8461538461538461,0.08717948717948718,0.06666666666666667,12.899999999999977,165,17,13
margin>=0.06 OR best>=0.3 dur[1.5s->0.06],0.06,0.3,1.5,0.06,20260825-end,243,0.9037037037037038,0.8271604938271605,0.12757201646090535,0.04526748971193416,8.260000000000094,201,31,11
margin>=0.06 OR best>=0.3 dur[1.5s->0.06],0.06,0.3,1.5,0.06,pooled,438,0.9013698630136987,0.8356164383561644,0.1095890410958904,0.0547945205479452,21.16000000000007,366,48,24
margin>=0.06 OR best>=0.3 dur[2.0s->0.0],0.06,0.3,2.0,0.0,20260818-end,195,0.8984615384615384,0.8461538461538461,0.08717948717948718,0.06666666666666667,12.899999999999977,165,17,13
margin>=0.06 OR best>=0.3 dur[2.0s->0.0],0.06,0.3,2.0,0.0,20260825-end,243,0.9053497942386831,0.831275720164609,0.12345679012345678,0.04526748971193416,8.260000000000094,202,30,11
margin>=0.06 OR best>=0.3 dur[2.0s->0.0],0.06,0.3,2.0,0.0,pooled,438,0.902283105022831,0.8378995433789954,0.10730593607305935,0.0547945205479452,21.16000000000007,367,47,24
margin>=0.06 OR best>=0.3 dur[2.0s->0.02],0.06,0.3,2.0,0.02,20260818-end,195,0.8984615384615384,0.8461538461538461,0.08717948717948718,0.06666666666666667,12.899999999999977,165,17,13
margin>=0.06 OR best>=0.3 dur[2.0s->0.02],0.06,0.3,2.0,0.02,20260825-end,243,0.9037037037037038,0.8271604938271605,0.12757201646090535,0.04526748971193416,8.260000000000094,201,31,11
margin>=0.06 OR best>=0.3 dur[2.0s->0.02],0.06,0.3,2.0,0.02,pooled,438,0.9013698630136987,0.8356164383561644,0.1095890410958904,0.0547945205479452,21.16000000000007,366,48,24
margin>=0.06 OR best>=0.3 dur[2.0s->0.04],0.06,0.3,2.0,0.04,20260818-end,195,0.8984615384615384,0.8461538461538461,0.08717948717948718,0.06666666666666667,12.899999999999977,165,17,13
margin>=0.06 OR best>=0.3 dur[2.0s->0.04],0.06,0.3,2.0,0.04,20260825-end,243,0.9037037037037038,0.8271604938271605,0.12757201646090535,0.04526748971193416,8.260000000000094,201,31,11
margin>=0.06 OR best>=0.3 dur[2.0s->0.04],0.06,0.3,2.0,0.04,pooled,438,0.9013698630136987,0.8356164383561644,0.1095890410958904,0.0547945205479452,21.16000000000007,366,48,24
margin>=0.06 OR best>=0.3 dur[2.0s->0.06],0.06,0.3,2.0,0.06,20260818-end,195,0.8984615384615384,0.8461538461538461,0.08717948717948718,0.06666666666666667,12.899999999999977,165,17,13
margin>=0.06 OR best>=0.3 dur[2.0s->0.06],0.06,0.3,2.0,0.06,20260825-end,243,0.9037037037037038,0.8271604938271605,0.12757201646090535,0.04526748971193416,8.260000000000094,201,31,11
margin>=0.06 OR best>=0.3 dur[2.0s->0.06],0.06,0.3,2.0,0.06,pooled,438,0.9013698630136987,0.8356164383561644,0.1095890410958904,0.0547945205479452,21.16000000000007,366,48,24
margin>=0.06 OR best>=0.3 dur[2.5s->0.0],0.06,0.3,2.5,0.0,20260818-end,195,0.8984615384615384,0.8461538461538461,0.08717948717948718,0.06666666666666667,12.899999999999977,165,17,13
margin>=0.06 OR best>=0.3 dur[2.5s->0.0],0.06,0.3,2.5,0.0,20260825-end,243,0.9053497942386831,0.831275720164609,0.12345679012345678,0.04526748971193416,8.260000000000094,202,30,11
margin>=0.06 OR best>=0.3 dur[2.5s->0.0],0.06,0.3,2.5,0.0,pooled,438,0.902283105022831,0.8378995433789954,0.10730593607305935,0.0547945205479452,21.16000000000007,367,47,24
margin>=0.06 OR best>=0.3 dur[2.5s->0.02],0.06,0.3,2.5,0.02,20260818-end,195,0.8984615384615384,0.8461538461538461,0.08717948717948718,0.06666666666666667,12.899999999999977,165,17,13
margin>=0.06 OR best>=0.3 dur[2.5s->0.02],0.06,0.3,2.5,0.02,20260825-end,243,0.9037037037037038,0.8271604938271605,0.12757201646090535,0.04526748971193416,8.260000000000094,201,31,11
margin>=0.06 OR best>=0.3 dur[2.5s->0.02],0.06,0.3,2.5,0.02,pooled,438,0.9013698630136987,0.8356164383561644,0.1095890410958904,0.0547945205479452,21.16000000000007,366,48,24
margin>=0.06 OR best>=0.3 dur[2.5s->0.04],0.06,0.3,2.5,0.04,20260818-end,195,0.8984615384615384,0.8461538461538461,0.08717948717948718,0.06666666666666667,12.899999999999977,165,17,13
margin>=0.06 OR best>=0.3 dur[2.5s->0.04],0.06,0.3,2.5,0.04,20260825-end,243,0.9037037037037038,0.8271604938271605,0.12757201646090535,0.04526748971193416,8.260000000000094,201,31,11
margin>=0.06 OR best>=0.3 dur[2.5s->0.04],0.06,0.3,2.5,0.04,pooled,438,0.9013698630136987,0.8356164383561644,0.1095890410958904,0.0547945205479452,21.16000000000007,366,48,24
margin>=0.06 OR best>=0.3 dur[2.5s->0.06],0.06,0.3,2.5,0.06,20260818-end,195,0.8984615384615384,0.8461538461538461,0.08717948717948718,0.06666666666666667,12.899999999999977,165,17,13
margin>=0.06 OR best>=0.3 dur[2.5s->0.06],0.06,0.3,2.5,0.06,20260825-end,243,0.9037037037037038,0.8271604938271605,0.12757201646090535,0.04526748971193416,8.260000000000094,201,31,11
margin>=0.06 OR best>=0.3 dur[2.5s->0.06],0.06,0.3,2.5,0.06,pooled,438,0.9013698630136987,0.8356164383561644,0.1095890410958904,0.0547945205479452,21.16000000000007,366,48,24
margin>=0.06 OR best>=0.3 dur[3.0s->0.0],0.06,0.3,3.0,0.0,20260818-end,195,0.8984615384615384,0.8461538461538461,0.08717948717948718,0.06666666666666667,12.899999999999977,165,17,13
margin>=0.06 OR best>=0.3 dur[3.0s->0.0],0.06,0.3,3.0,0.0,20260825-end,243,0.9053497942386831,0.831275720164609,0.12345679012345678,0.04526748971193416,8.260000000000094,202,30,11
margin>=0.06 OR best>=0.3 dur[3.0s->0.0],0.06,0.3,3.0,0.0,pooled,438,0.902283105022831,0.8378995433789954,0.10730593607305935,0.0547945205479452,21.16000000000007,367,47,24
margin>=0.06 OR best>=0.3 dur[3.0s->0.02],0.06,0.3,3.0,0.02,20260818-end,195,0.8984615384615384,0.8461538461538461,0.08717948717948718,0.06666666666666667,12.899999999999977,165,17,13
margin>=0.06 OR best>=0.3 dur[3.0s->0.02],0.06,0.3,3.0,0.02,20260825-end,243,0.9037037037037038,0.8271604938271605,0.12757201646090535,0.04526748971193416,8.260000000000094,201,31,11
margin>=0.06 OR best>=0.3 dur[3.0s->0.02],0.06,0.3,3.0,0.02,pooled,438,0.9013698630136987,0.8356164383561644,0.1095890410958904,0.0547945205479452,21.16000000000007,366,48,24
margin>=0.06 OR best>=0.3 dur[3.0s->0.04],0.06,0.3,3.0,0.04,20260818-end,195,0.8984615384615384,0.8461538461538461,0.08717948717948718,0.06666666666666667,12.899999999999977,165,17,13
margin>=0.06 OR best>=0.3 dur[3.0s->0.04],0.06,0.3,3.0,0.04,20260825-end,243,0.9037037037037038,0.8271604938271605,0.12757201646090535,0.04526748971193416,8.260000000000094,201,31,11
margin>=0.06 OR best>=0.3 dur[3.0s->0.04],0.06,0.3,3.0,0.04,pooled,438,0.9013698630136987,0.8356164383561644,0.1095890410958904,0.0547945205479452,21.16000000000007,366,48,24
