threshold,score,accuracy,unassigned_rate,error_rate,misattributed_seconds
0.0,0.9018264840182648,0.9018264840182648,0.0,0.09817351598173515,34.0400000000001
0.01,0.9018264840182648,0.8881278538812786,0.0228310502283105,0.08904109589041095,32.38000000000005
0.02,0.9004566210045662,0.8744292237442922,0.04337899543378995,0.0821917808219178,29.809999999999977
0.03,0.9036529680365297,0.865296803652968,0.0639269406392694,0.07077625570776255,27.489999999999966
0.04,0.9054794520547945,0.8561643835616438,0.0821917808219178,0.06164383561643835,24.350000000000023
0.05,0.9027397260273973,0.8356164383561644,0.11187214611872145,0.05251141552511415,17.58000000000007
0.06,0.9054794520547945,0.821917808219178,0.13926940639269406,0.03881278538812785,13.549999999999955
0.07,0.906392694063927,0.8105022831050228,0.1598173515981735,0.02968036529680365,11.069999999999979
0.08,0.8990867579908677,0.7922374429223744,0.1780821917808219,0.02968036529680365,11.069999999999979
0.09,0.895433789954338,0.776255707762557,0.19863013698630136,0.02511415525114155,9.529999999999959
0.1,0.8894977168949773,0.7579908675799086,0.2191780821917808,0.0228310502283105,9.109999999999957
0.11,0.8853881278538813,0.7374429223744292,0.2465753424657534,0.01598173515981735,7.1999999999999895
0.12,0.8735159817351599,0.7077625570776256,0.2762557077625571,0.01598173515981735,7.1999999999999895
0.13,0.8698630136986303,0.6917808219178082,0.2968036529680365,0.01141552511415525,5.700000000000017
0.14,0.8625570776255709,0.6735159817351598,0.3150684931506849,0.01141552511415525,5.700000000000017
0.15,0.8570776255707764,0.6598173515981736,0.3287671232876712,0.01141552511415525,5.700000000000017
0.16,0.8488584474885847,0.639269406392694,0.3493150684931507,0.01141552511415525,5.700000000000017
0.17,0.8438356164383565,0.6232876712328768,0.3675799086757991,0.0091324200913242,5.160000000000053
0.18,0.834246575342466,0.5958904109589042,0.3972602739726027,0.00684931506849315,4.540000000000049
0.19,0.8260273972602743,0.5753424657534246,0.4178082191780822,0.00684931506849315,4.540000000000049
0.2,0.8196347031963473,0.5593607305936074,0.4337899543378995,0.00684931506849315,4.540000000000049
0.21,0.8105022831050231,0.5365296803652968,0.45662100456621,0.00684931506849315,4.540000000000049
0.22,0.8068493150684936,0.5273972602739726,0.4657534246575342,0.00684931506849315,4.540000000000049
0.23,0.8009132420091328,0.5091324200913242,0.4863013698630137,0.0045662100456621,3.3400000000000034
0.24,0.7908675799086762,0.4840182648401826,0.5114155251141552,0.0045662100456621,3.3400000000000034
0.25,0.7803652968036534,0.454337899543379,0.54337899543379,0.00228310502283105,1.7399999999999807
0.26,0.7721461187214617,0.4337899543378995,0.5639269406392694,0.00228310502283105,1.7399999999999807
0.27,0.7611872146118727,0.4063926940639269,0.591324200913242,0.00228310502283105,1.7399999999999807
0.28,0.7547945205479458,0.3904109589041096,0.6073059360730594,0.00228310502283105,1.7399999999999807
0.29,0.7474885844748864,0.3721461187214612,0.6255707762557078,0.00228310502283105,1.7399999999999807
0.3,0.7420091324200919,0.3584474885844749,0.639269406392694,0.00228310502283105,1.7399999999999807
0.31,0.7319634703196354,0.3333333333333333,0.6643835616438356,0.00228310502283105,1.7399999999999807
0.32,0.7273972602739731,0.3219178082191781,0.6757990867579908,0.00228310502283105,1.7399999999999807
0.33,0.7210045662100462,0.3059360730593607,0.6917808219178082,0.00228310502283105,1.7399999999999807
0.34,0.7141552511415532,0.2853881278538813,0.7146118721461188,0.0,0.0
0.35,0.7086757990867585,0.271689497716895,0.728310502283105,0.0,0.0
0.36,0.703196347031964,0.2579908675799087,0.7420091324200914,0.0,0.0
0.37,0.6922374429223749,0.23059360730593606,0.769406392694064,0.0,0.0
0.38,0.6876712328767127,0.2191780821917808,0.7808219178082192,0.0,0.0
0.39,0.6794520547945209,0.19863013698630136,0.8013698630136986,0.0,0.0
0.4,0.6666666666666669,0.16666666666666666,0.8333333333333334,0.0,0.0
