threshold,score,accuracy,unassigned_rate,error_rate,misattributed_seconds
0.0,0.8721461187214612,0.8721461187214612,0.0,0.1278538812785388,39.988999999999805
0.01,0.8757990867579909,0.8538812785388128,0.0365296803652968,0.1095890410958904,35.859999999999815
0.02,0.8748858447488584,0.8378995433789954,0.06164383561643835,0.1004566210045662,33.45999999999991
0.03,0.8812785388127854,0.8333333333333334,0.07990867579908675,0.0867579908675799,26.680000000000103
0.04,0.889041095890411,0.8287671232876712,0.1004566210045662,0.07077625570776255,20.96000000000009
0.05,0.8940639269406393,0.8242009132420092,0.11643835616438356,0.0593607305936073,19.060000000000063
0.06,0.8995433789954338,0.8105022831050228,0.14840182648401826,0.0410958904109589,12.740000000000041
0.07,0.9018264840182648,0.7990867579908676,0.17123287671232876,0.02968036529680365,10.120000000000033
0.08,0.904109589041096,0.7945205479452054,0.182648401826484,0.0228310502283105,8.960000000000093
0.09,0.9000000000000001,0.7808219178082192,0.19863013698630136,0.02054794520547945,8.540000000000106
0.1,0.9009132420091325,0.776255707762557,0.20776255707762556,0.01598173515981735,7.370000000000033
0.11,0.8968036529680365,0.7625570776255708,0.2237442922374429,0.0136986301369863,5.630000000000052
0.12,0.8894977168949773,0.7374429223744292,0.2534246575342466,0.0091324200913242,4.750000000000057
0.13,0.8826484018264842,0.7168949771689498,0.2762557077625571,0.00684931506849315,3.410000000000025
0.14,0.8767123287671235,0.6986301369863014,0.2968036529680365,0.0045662100456621,2.2099999999999795
0.15,0.8684931506849317,0.678082191780822,0.317351598173516,0.0045662100456621,2.2099999999999795
0.16,0.8593607305936075,0.6552511415525114,0.3401826484018265,0.0045662100456621,2.2099999999999795
0.17,0.8529680365296806,0.632420091324201,0.3675799086757991,0.0,0.0
0.18,0.8456621004566213,0.6141552511415526,0.3858447488584475,0.0,0.0
0.19,0.8420091324200916,0.6050228310502284,0.3949771689497717,0.0,0.0
0.2,0.8328767123287675,0.5821917808219178,0.4178082191780822,0.0,0.0
0.21,0.8246575342465756,0.5616438356164384,0.4383561643835616,0.0,0.0
0.22,0.8146118721461191,0.5365296803652968,0.4634703196347032,0.0,0.0
0.23,0.8063926940639273,0.5159817351598174,0.4840182648401826,0.0,0.0
0.24,0.799086757990868,0.4977168949771689,0.502283105022831,0.0,0.0
0.25,0.7926940639269411,0.4817351598173516,0.5182648401826484,0.0,0.0
0.26,0.7826484018264845,0.45662100456621,0.54337899543379,0.0,0.0
0.27,0.7744292237442927,0.4360730593607306,0.5639269406392694,0.0,0.0
0.28,0.766210045662101,0.4155251141552511,0.5844748858447488,0.0,0.0
0.29,0.7525114155251147,0.3812785388127854,0.6187214611872146,0.0,0.0
0.3,0.7433789954337906,0.3584474885844749,0.6415525114155252,0.0,0.0
0.31,0.7369863013698637,0.3424657534246575,0.6575342465753424,0.0,0.0
0.32,0.7278538812785396,0.319634703196347,0.680365296803653,0.0,0.0
0.33,0.7168949771689503,0.2922374429223744,0.7077625570776256,0.0,0.0
0.34,0.7114155251141558,0.2785388127853881,0.7214611872146118,0.0,0.0
0.35,0.6995433789954343,0.24885844748858446,0.7511415525114156,0.0,0.0
0.36,0.6894977168949776,0.2237442922374429,0.776255707762557,0.0,0.0
0.37,0.6821917808219182,0.2054794520547945,0.7945205479452054,0.0,0.0
0.38,0.6748858447488588,0.1872146118721461,0.8127853881278538,0.0,0.0
0.39,0.6675799086757993,0.1689497716894977,0.8310502283105022,0.0,0.0
0.4,0.6630136986301371,0.15753424657534246,0.8424657534246576,0.0,0.0
