threshold,score,accuracy,unassigned_rate,error_rate,misattributed_seconds
0.0,0.819634703196347,0.819634703196347,0.0,0.18036529680365296,110.58700000000022
0.02,0.838812785388128,0.7374429223744292,0.1689497716894977,0.09360730593607305,46.979000000000134
0.04,0.825570776255708,0.639269406392694,0.3105022831050228,0.0502283105022831,28.480000000000018
0.06,0.8100456621004569,0.5662100456621004,0.4063926940639269,0.0273972602739726,19.339999999999918
0.08,0.7844748858447492,0.4885844748858447,0.4931506849315068,0.0182648401826484,7.339999999999918
0.1,0.7598173515981741,0.4132420091324201,0.5776255707762558,0.0091324200913242,3.6200000000000045
0.12,0.7237442922374435,0.3127853881278539,0.684931506849315,0.00228310502283105,0.5399999999999636
0.14,0.6931506849315072,0.2328767123287671,0.7671232876712328,0.0,0.0
0.16,0.6621004566210047,0.1552511415525114,0.8447488584474886,0.0,0.0
0.18,0.6383561643835614,0.0958904109589041,0.9041095890410958,0.0,0.0
0.2,0.6200913242009127,0.0502283105022831,0.9497716894977168,0.0,0.0
0.22,0.6082191780821912,0.02054794520547945,0.9794520547945206,0.0,0.0
0.24,0.603652968036529,0.0091324200913242,0.9908675799086758,0.0,0.0
0.26,0.6018264840182641,0.0045662100456621,0.9954337899543378,0.0,0.0
0.28,0.6009132420091317,0.00228310502283105,0.997716894977169,0.0,0.0
0.3,0.5999999999999992,0.0,1.0,0.0,0.0
0.32,0.5999999999999992,0.0,1.0,0.0,0.0
0.34,0.5999999999999992,0.0,1.0,0.0,0.0
0.36,0.5999999999999992,0.0,1.0,0.0,0.0
0.38,0.5999999999999992,0.0,1.0,0.0,0.0
0.4,0.5999999999999992,0.0,1.0,0.0,0.0
0.42,0.5999999999999992,0.0,1.0,0.0,0.0
0.44,0.5999999999999992,0.0,1.0,0.0,0.0
0.46,0.5999999999999992,0.0,1.0,0.0,0.0
0.48,0.5999999999999992,0.0,1.0,0.0,0.0
0.5,0.5999999999999992,0.0,1.0,0.0,0.0
